,city,job_title,company_name,location,summary,salary,og_salary_period
0,new york,data scientist   big data   analytics,kpmg,new york  ny,kpmg is currently seeking a data scientist   big data   analytics  to join our advanced data   analytics organization    ,,
1,new york,people analytics   research data scientist,blackrock,new york  ny,we are looking for a data scientist with advanced skills in mathematics  technology and data mining to help build algorithms that leverage large quantities of   ,,
2,new york,data scientist,kpmg,new york  ny,kpmg is currently seeking a data scientist to join our advanced data analytics organization  retrieve  prepare  and process a rich data variety of data sources   ,,
3,new york,data scientist,pulsepoint,new york  ny, 3  years of full time experience working as a data scientist  operating and extending the data infrastructure platform to deliver production grade data curation   ,,
4,new york,data scientist,massmutual financial group,new york  ny, massmutual’s advanced analytics group is seeking an exceptional  highly motivated and self directed data scientist for its new york office location    ,,
5,new york,data scientist,webmd,new york  ny, the data scientist  outcomes research will utilize data captured from online surveys  electronic medical records  and data purchased from other suppliers to   ,,
6,new york,data scientist,harpercollins publishers inc ,new york  ny, uses mid to large scale machine learning  data mining and statistical techniques to identify data patterns that drive actionable insights    ,,
7,new york,data scientist,simulmedia,new york  ny, as a data scientist at simulmedia  you will solve highly complex technical challenges that relate to the television advertising industry    ,,
8,new york,machine learning researcher,schrodinger,new york  ny, experience using machine learning in low data settings  the candidate should understand how machine learning algorithms work  and be able to discuss optimal   ,,
9,new york,data science analyst,aig,new york  ny, we are looking for talented  curious  and creative data scientists to join our growing team  data science is fundamentally changing the way we do business    ,,
10,new york,research analyst  content,peloton cycle,new york  ny, familiarity with data warehouse analytics platforms  e g  collaborate with colleagues to proactively find data insights to offer them    ,,
11,new york,data scientist,bonobos,new york  ny, bonobos is seeking a data scientist to optimize operational and economic inefficiencies and to create practical solutions to business problems using data and   ,,
12,new york,data scientist,celmatix,new york  ny, we seek a data scientist with deep expertise working with large clinical datasets to join our growing scientific team    ,,
13,new york,applied machine learning scientist engineer   relevance   discoverability team,bloomberg,new york  ny,information and data move the financial markets  this data would be unmanageable without our help  bloomberg ingests more than 70 000 different news feeds    ,,
14,new york,senior data scientist,verizon,new york  ny,familiarity and experience with creating analytical data sets  in depth experience with exploratory big data discovery through the use of technologies such as   ,,
15,new york,senior data scientist,nit finance,new york  ny, data scientist responsibilities:  working in enterprise data management organization  the senior data scientist will work with data teams to evolve machine   ,,
16,new york,data scientist,centurylink,new york  ny, centurylink offers network and data systems management  big data analytics and it consulting  and operates more than 55 data centers in north america  europe   ,,
17,new york,data scientist,nuvento,new york  ny, we are looking for a data scientist that will help us discover the information hidden in vast amounts of data  and help us make smarter decisions to deliver   ,,
18,new york,data scientist,experis,new york  ny, experience with integration of data from multiple data sources  experience with big data ml toolkits  such as mahout  sparkml  or h2o    ,,
19,new york,data scientist,newsela,new york  ny, 2  years of experience as a data scientist  collaborate with data managers and engineers to specify requirements for data infrastructure and storage    ,,
20,new york,copy of research analyst custom research,blue 449,new york  ny, review data tables  help find data driven insights   stories within the data  highly detail oriented   data driven    ,,
21,new york,analyst  data access   advanced analysis,conde nast,new york  ny, the raw data at hand  the data analyst must be able to translate  approaches they use to derive insights and deliver data    ,,
22,new york,data scientist,2u,new york  ny, under the guidance of the director of data science  the data scientist will lead advanced analytical research and development    ,,
23,new york,data scientist,goldman sachs,new york  ny, experience working with large data sets and and big data tools and stack  e g   hadoop  spark  etc    including contributing to the development of underwriting   ,,
24,new york,quantitative scientist,flatiron health,new york  ny, you love working with data and have experience exploring data with a critical and thoughtful eye  experience working with longitudinal emr data    ,,
25,new york,data scientist,feedzai,new york  ny, founded and developed by data scientists and aerospace engineers  feedzai has one critical mission:  the data scientist at feedzai has 1 3 years of professional   ,,
26,new york,data scientist,kpmg,new york  ny, kpmg is currently seeking a data scientist to join our advanced data analytics organization  retrieve  prepare  and process a rich data variety of data sources   ,,
27,new york,data scientist,bond street,new york  ny, we’re looking for an extraordinary data scientist who is excited about the opportunity to build a next generation financial services business    ,,
28,new york,data scientist,colorofchange,new york  ny, you will work with campaign staff and senior management to derive actionable insights from existing data  reports or data mining   as well as by testing    ,,
29,new york,machine learning engineer,adtheorent,new york  ny, the job will involve improving operational efficiency within data science team  building automation pipelines for some existing processes  building redshift   ,,
30,new york,technology   gsam technology   search and machine learning engineer,goldman sachs,new york  ny, goldman sachs asset management is one of the world's leading asset management institutions  gsam delivers innovative investment solutions managing a global ,,
31,new york,data scientist  analytics,facebook,new york  ny, the data scientist analytics role has work across the following four areas:  building key data sets to empower operational and exploratory analysis    ,,
32,new york,research analyst custom research,zenith,new york  ny, review data tables  help find data driven insights   stories within the data  highly detail oriented   data driven    ,,
33,new york,principal data scientist,aetna,new york  ny, we are currently seeking an principal data scientist in our new york city  ny location  expertise in advanced analytics tools and languages to analyze large   ,,
34,new york,research data associate  temp program ,nyu school of medicine,new york  ny, extracts data for publications  or provides data collection from outside physicians offices  reviews data with supervisor and provides reports to the data and   ,,
35,new york,accenture analytics   data science manager,accenture,new york  ny, accenture analytics – global management – data scientist  manage  architect and analyze big data in order to build data driven business insights and high impact   ,,
37,new york,analytics   ads team,foursquare,new york  ny, 3  years work experience as a data scientist or in analytics  working with big datasets  knowledge of foursquare or location data and an ability to clearly   ,,
38,new york,senior data scientist,ektello,new york  ny, the senior data scientist will empower data driven decisions and process improvement to improve patients’ outcomes and experience    ,,
39,new york,statistical analyst,hospital for special surgery,new york  ny, build and improve on macros to make data processing and presentation more efficient  master’s degree or higher in biostatistics or a related field  e g   data   ,,
40,new york,clinical data scientist  associate  entry level with dm experience ,pfizer inc ,new york  ny, prepare  or assist in the preparation of  data transfer specifications and data flow for all trial data  including crf and non crf data    ,,
41,new york,sr  data scientist,hudson data,new york  ny, hudson data is a data science solutions firm specializing in big data and analytics  through the application of machine learning techniques and highly advanced   ,,
43,new york,senior data scientist,appnexus,new york  ny, senior data scientist   machine learning engineerdata scientists are the creative thought leaders responsible for leveraging data to create automated systems   ,,
44,new york,junior data scientist,pymetrics,new york  ny, experience working with data sets  ability to track down complex data and engineering issues  evaluate different algorithmic approaches  and analyze data to   ,,
46,new york,senior data scientist,adtheorent,new york  ny, data scientist building predictive models:  we are looking to hire a results oriented data scientist with experience in data analysis and predictive modeling    ,,
47,new york,data scientist,knewton,new york  ny, we are seeking a data scientist to join the data science team  familiarity with linear algebra and manipulating data using matrix algorithms    ,,
