,city,job_title,company_name,location,summary,salary
1,New+York,Data Scientist - Big Data & Analytics,KPMG,"New York, NY 10154","KPMG is currently seeking a Data Scientist - Big Data & Analytics, to join our Advanced Data & Analytics Organization....",Nothing_found
2,New+York,Senior Data Scientist,Verizon,"New York, NY 10003",Familiarity and experience with creating analytical data sets. In depth experience with exploratory Big Data discovery through the use of technologies such as...,Nothing_found
3,New+York,Applied Machine Learning Scientist/Engineer - Relevance & Discoverability team,Bloomberg,"New York, NY","Information and data move the financial markets. This data would be unmanageable without our help. Bloomberg ingests more than 70,000 different news feeds,...",Nothing_found
4,New+York,Junior Data Scientist,AIG,"New York, NY",We are looking for top-notch Strategic Data Scientists to join our team and be the creative force for the next wave of dramatic performance improvement and...,Nothing_found
5,New+York,"Research Data Analyst , Bureau of Veterinary and Pest Control Services",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",-Create visualizations and presentations summarizing program data. -Use ArcGIS to display program data and create maps....,"$59,708 - $65,678 a year"
6,New+York,Machine Learning,Twitter,"New York, NY","Cortex is a team of software engineers, data scientists, and research scientists dedicated to developing state-of-the-art machine learning capabilities to...",Nothing_found
7,New+York,"Applied Research Scientist, Machine Learning & NLP",Spreemo,"New York, NY","Experience implementing data pipelines for ETL, data cleaning, and data integration. About the Role As an Applied Research Scientist at Spreemo, you will work...",Nothing_found
8,New+York,Data Analyst/Modeler,DEPARTMENT OF FINANCE,"Manhattan, NY","Strong programming, data analysis, statistical sampling or data mining experience. Develop modeling and data mining techniques....","$70,286 - $80,829 a year"
9,New+York,Quantitative Analyst,UBS,"New York, NY",Does complex modeling excite you? Are you an innovative thinker? We’re looking for someone like that who can: – Build new mathematical and software models for,Nothing_found
10,New+York,Sr Data Scientist,Aetna,"New York, NY 10016 (Gramercy area)",We are currently looking for an exceptional Senior Data Scientist to join us in developing products to improve effectiveness of our Pharmacy business....,Nothing_found
11,New+York,Data Science Adviser,ProPublica,"New York, NY 10013 (Tribeca area)",ProPublica is seeking an experienced statistician or data scientist to advise us on our complex data-journalism projects....,Nothing_found
12,New+York,"Manager, Data Science (Programmatic)",GroupM,"New York, NY","Data and data analytics savvy. At least 3-5 years’ hands-on, proven experience in a digital analyst or data scientist role....",Nothing_found
13,New+York,Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","New York, NY","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership","$130,000 - $140,000 a year"
14,New+York,Senior Data Scientist Manager,Aetna,"New York, NY 10001",We are currently looking for an exceptional Senior Data Scientist Manager to play a pivotal role in the creation and deployment of information products....,Nothing_found
15,New+York,Principal Data Scientist,Aetna,"New York, NY 10017","We are currently seeking a Principal Data Scientist in our Hartford, CT; Aetna continues to build a world-class Data Science organization to capture data,...",Nothing_found
