,city,job_title,company_name,location,summary,salary,og_salary_period
0,new york,data scientist   big data   analytics,kpmg,new york  ny,kpmg is currently seeking a data scientist   big data   analytics  to join our advanced data   analytics organization    ,,
1,new york,senior data scientist,verizon,new york  ny,familiarity and experience with creating analytical data sets  in depth experience with exploratory big data discovery through the use of technologies such as   ,,
2,new york,applied machine learning scientist engineer   relevance   discoverability team,bloomberg,new york  ny,information and data move the financial markets  this data would be unmanageable without our help  bloomberg ingests more than 70 000 different news feeds    ,,
3,new york,junior data scientist,aig,new york  ny,we are looking for top notch strategic data scientists to join our team and be the creative force for the next wave of dramatic performance improvement and   ,,
5,new york,machine learning,twitter,new york  ny,cortex is a team of software engineers  data scientists  and research scientists dedicated to developing state of the art machine learning capabilities to   ,,
6,new york,applied research scientist  machine learning   nlp,spreemo,new york  ny,experience implementing data pipelines for etl  data cleaning  and data integration  about the role as an applied research scientist at spreemo  you will work   ,,
8,new york,quantitative analyst,ubs,new york  ny,does complex modeling excite you  are you an innovative thinker  we’re looking for someone like that who can: – build new mathematical and software models for,,
9,new york,sr data scientist,aetna,new york  ny,we are currently looking for an exceptional senior data scientist to join us in developing products to improve effectiveness of our pharmacy business    ,,
10,new york,data science adviser,propublica,new york  ny,propublica is seeking an experienced statistician or data scientist to advise us on our complex data journalism projects    ,,
11,new york,manager  data science  programmatic ,groupm,new york  ny,data and data analytics savvy  at least 3 5 years’ hands on  proven experience in a digital analyst or data scientist role    ,,
13,new york,senior data scientist manager,aetna,new york  ny,we are currently looking for an exceptional senior data scientist manager to play a pivotal role in the creation and deployment of information products    ,,
14,new york,principal data scientist,aetna,new york  ny,we are currently seeking a principal data scientist in our hartford  ct  aetna continues to build a world class data science organization to capture data    ,,
15,new york,simulation and modeling consultant,simul8 corporation,new york  ny,working with data scientists to stream information into simulation models and assist in visualizing data to derive useful insights and conclusions    ,,
16,new york,data analysis assistant,united nations,new york  ny,provides basic statistical analysis of the data  including data cleaning  ensures accuracy  clarity and validity  makes appropriate adjustments    ,,
17,new york,data scientists,fxcompared,new york  ny,we are looking for full time data scientists to be responsible for analysis and presentation of our data  normalizing various forms of data    ,,
18,new york,data manager,td ameritrade,jersey city  nj,develop custom data sets to support data scientists and advanced analytics using advanced tools  methods and data platforms    ,,
19,new york,data science analyst,aig,new york  ny,we are looking for talented  curious  and creative data scientists to join our growing team  data science is fundamentally changing the way we do business    ,,
20,new york,data acquisition strategy leader,bloomberg,new york  ny,previous collaboration with data scientists  bloomberg runs on data  in our global data business  we're responsible for supplying it – our content acquisition   ,,
21,new york,data engineer   core data,jw player,new york  ny,work with data scientists to process video data in ways that are meaningful for our publishers  the core data team is highly democratic    ,,
23,new york,senior analyst  quantitative customer insights,hellofresh,new york  ny,manipulate  transform  join  and clean data sets  experience performance advanced data management   statistical techniques using r  python  java  etc  preferred   ,,
25,chicago,data scientist intern,emerge media,chicago  il,we are looking for a data scientist to help secure our competitive advantage within the translation tech industry    ,,
26,chicago,statistical analyst,ttx company,chicago  il,experience with data management and data integration  i e  joining multiple tables from different sources    ,,
27,chicago,data scientist   sales analytics,invesco,downers grove  il,experience linking multiple data platforms  social media  open  etc  and with data visualization tools  e g   tableau     ,,
28,chicago,consumer research   data analyst,mintel,chicago  il,gathering market data through secondary research such as industry or government data  eg census data   analyzing quantitative data:    ,,
